n;nombre_es;nombre_en;categoria;puntuacion;descripcion;cumplimiento_en_juego;mejoras_para_100
11;Inspiración Infinita;Infinite Inspiration;Diseñador;85;¿Qué experiencia mía me podría inspirar? ¿Hay algo distinto del videojuego que me dé ideas?;"Inspiraciones: Navarrete, las cartas portulanas, el Museo Naval, las reconstrucciones Martínez-Hidalgo, la Lettera Rarissima, el cuadro de Garnelo en el splash.";Inspiración de cine náutico (Master & Commander) para curvar la cámara durante eventos.
12;Declaración del Problema;Problem Statement;Diseñador;95;¿Cuál es el problema concreto que estoy resolviendo con este juego? Reformularlo siempre como un problema.;"Problema declarado y publicado en el Manifiesto del simulador (modal Help, desplegable): «¿cómo enseñar la travesía de 1492 con rigor documental y sin sermón?» — con respuesta, propósito secreto y lo que el simulador NO hace.";Imprimirlo en la pantalla de información raíz para máxima visibilidad.
13;Los Ocho Filtros;Eight Filters;Diseñador;60;¿Pasa el diseño los ocho filtros? Sentirse bien · Sorprender · Tener diversión · Tener jugadores · Tecnología viable · Negocio viable · Innovación · Equilibrio.;"Pasa 5/8: bien, sorprende, tecnología viable, innovación, equilibrio. Diversión y «tener jugadores» — menor (público nicho histórico).";"Difusión cultural (museos, aulas) para sumar «tener jugadores»."
14;Mitigación de Riesgos;Risk Mitigation;Diseñador;80;¿Qué podría arruinar mi juego? ¿Cómo prevenirlo?;"Riesgos cubiertos: caída de APIs externas (open-elevation, Wikimedia) con fallback silente; localStorage corrupto con try/catch; navegador antiguo con aviso de pantalla pequeña.";Cachear los tiles de cartografía histórica con localStorage para ofline.
15;El Juguete;The Toy;Juego;88;"¿Es divertido jugar con el juguete aunque no haya objetivo? Si añado un objetivo, ¿sigue siéndolo?";"Hay «juguete» en mover el timón, izar/arriar velas, alternar vistas cinemáticas, tomar la altura, echar la sondaleza. Tras completar el regreso del I viaje, se desbloquea el modo Capitán Errante: autopilot desactivado, eventos y decisiones omitidos, rumbo libre.";"En modo libre, soltar los waypoints también de las otras naves para verdadera dispersión."
16;El Jugador;The Player;Juego;80;¿A quién está dirigido el juego? ¿Qué le gusta? ¿Qué espera?;"Jugador: adulto curioso interesado en historia, divulgación, navegación. No es público «casual». El simulador asume desktop y respeto por la dificultad léxica.";Versión «niño» con glosario y rumbo automatizado (sin perder rigor).
17;Placer;Pleasure;Juego;90;¿Qué placeres ofrece mi juego? ¿Hay placeres infrarrepresentados?;"Asombro, maestría, belleza, descubrimiento, colección + modo Cinemática que cicla automáticamente entre cofa/popa/proa/mar cada 25 s para contemplación pasiva, con HUD oculto opcional. Voces distintivas de tripulantes al seleccionarlos.";"Música procedural de tonos modales sobre el viento, sin loops obvios."
18;Flujo;Flow;Juego;82;¿Hay objetivos claros? ¿La dificultad permite estar en flujo? ¿Hay distracciones que rompen?;"Objetivos claros (panel de próximo hito). Tres modos de dificultad: Cabotaje (observador, autopilot total) / Almirante (manual completo) / Capitán General (casco frágil 3×). Decisiones modales bien diseñadas.";Curva visible de dificultad dentro de cada modo (más eventos al avanzar).
19;Necesidades;Needs;Juego;88;¿Qué necesidades de Maslow cubre mi juego? ¿Hasta qué punto?;"Cubre auto-realización (aprendizaje), estima (dominar la nao) y, ahora, pertenencia: viñetas diarias de la tripulación. A velocidades bajas (≤ 1 h/s), al amanecer de cada jornada simulada un tripulante documentado pronuncia una micro-frase contextual con voz adaptada a su edad. 28 viñetas atribuidas a 18 figuras (Colón, Triana, Lope el tonelero, Jácome el grumete genovés…).";"Viñetas geográficas (al cruzar el trópico, al avistar Sargazos) que reaccionen al lugar exacto."
20;Juicio;Judgment;Juego;85;¿Qué juzga mi juego? ¿Le importa al jugador? ¿Es justo el juicio?;"Hull, moral, decisiones. Pantalla final de cada viaje con balance: días reales, sellos obtenidos, decisiones tomadas, integridad del casco al cierre + cita de cierre del Almirante. Sin «game over» arbitrario.";Permitir comparar el balance de varias partidas guardadas.
21;Espacio Funcional;Functional Space;Mecánicas;90;¿Es el espacio discreto o continuo? ¿Cuántas dimensiones? ¿Hay subespacios?;"Espacio continuo (lat/lon WGS84). Subespacios: 2D mapa, 3D escena, 1D timeline. El borde es la esfera terrestre (sin wrap teórico, pero suficiente).";Wrap por antimeridiano para travesías hipotéticas del Pacífico.
22;Estado Dinámico;Dynamic State;Mecánicas;85;¿Qué información hay en cada estado? ¿Qué cambia? ¿Quién la ve?;"Estado: posición, rumbo, viento, casco, moral, velas, decisiones tomadas, fecha. Visible casi todo en HUD; oculto: probabilidades exactas de eventos.";Visualizar el sub-estado «ánimo del Almirante» con sus dudas internas.
23;Emergencia;Emergence;Mecánicas;80;¿Qué verbos pueden combinarse? ¿Cuántos objetos los acepta? ¿Qué surge?;"Verbos: velas, timón, nave, tripulante, decisión, salvado, astrolabio, sondaleza, vista cinemática. Viñetas diarias emergentes con frase distinta cada amanecer simulado. Verbos asíncronos que dialogan con el motor de elevación y el de voz.";Verbo opcional «echar barrica al mar» (Colón lo hizo en feb 1493 con copia del Diario).
24;Acción;Acción;Mecánicas;78;¿Cuáles son las acciones operativas? ¿Cuáles las estratégicas? ¿Se obtienen acciones nuevas?;"Operativas: timón, velas, astrolabio (lectura interactiva), sondaleza (medición real de profundidad). Estratégicas: rumbo, decisiones contrafactuales (con riesgo/recompensa visibles), elección de rol (modula HUD). Cambio de rol concentra la atención del jugador sin desbloquear acciones nuevas.";Acción «echar barrica al mar» en tormenta para preservar el Diario.
25;Objetivos;Goals;Mecánicas;80;¿Los objetivos son claros? ¿Hay objetivos a corto y largo plazo? ¿El jugador los puede definir?;Objetivo a largo plazo: completar los cuatro viajes (claro). A corto: llegar al próximo hito histórico (panel dedicado tras esta auditoría).;"Objetivos personales opcionales («no perder a ningún tripulante», «llegar antes que Colón»)."
26;Reglas;Rules;Mecánicas;75;¿Cuáles son las reglas? ¿Hay foundational rules? ¿Reglas de comportamiento? ¿Son enforced?;"Reglas implícitas: aparejo redondo no ciñe <67°; corriente afecta SOG; eventos disparan en su fecha real. El motor las enforza siempre.";Documento de reglas explícito en el manual.
27;Habilidad;Skill;Mecánicas;86;"¿Qué habilidades exige el juego? ¿Físicas, mentales, sociales? ¿Faltan?";"Mentales: paciencia, lectura de carta, comprensión de aparejo, cálculo de altura del Sol o de la Polar. Físicas finas: drag de alidada del astrolabio, plomada del cuadrante, lectura de nudos en la corredera de 28 segundos. Sociales: ninguna por diseño. Tres niveles de exigencia (Cabotaje/Almirante/Capitán General) ajustan la fragilidad del casco, la probabilidad de temporal, el consumo de víveres y la velocidad de caída de la moral. El panel «Trayectoria» mide el error medio de las alturas tomadas y otorga distinción explícita (novicio → aprendiz → piloto fiable → piloto magistral).";"Curva de aprendizaje: corregir automáticamente parte del error cuando la habilidad estimada del jugador es magistral, como hizo Pedro Niño con Bartolomé Roldán."
28;Valor Esperado;Expected Value;Mecánicas;80;¿Cuál es el valor esperado de cada acción? ¿Hay equilibrio?;"Cada opción del modal de decisión muestra ahora cuatro etiquetas explícitas: cambio en moral, cambio en casco, riesgo (bajo/medio/alto) y recompensa (bajo/medio/alto). El jugador toma decisiones con el valor esperado a la vista, no a ciegas. Las maniobras (velas, timón) siguen sin valor explícito.";Cálculo del valor esperado también para las maniobras (tiempo previsto al hito siguiente).
29;Azar;Chance;Mecánicas;80;¿Qué papel juega el azar? ¿Se siente justo? ¿Se siente excitante?;"12 encuentros oceánicos azarosos documentados con probabilidad por jornada modulable por región (boost en costa, boost en el Mar de los Sargazos lat 25-32 lon -55/-30): alcatraz, rabihorcado, pardela, paxarillo, delfines, ballena, atunes, peces voladores, sargazos, fuegos de Santelmo, luna grande, vela latina. Cada uno con texto en castellano del XV y voz del vigía Triana.";Azar acotado en pesca exitosa con tripulante despensero.
30;Equidad / Justicia;Fairness;Mecánicas;85;¿Es justo el juego? ¿Equilibrio simétrico o asimétrico? ¿Una nave domina?;"Justicia histórica — la Pinta es más veloz que la Niña, que es más veloz que la Santa María, como en la realidad. El jugador acepta esa asimetría.";Equilibrar la «dificultad de gobierno» perceptible al cambiar de nave.
31;Desafío;Challenge;Mecánicas;78;¿Qué desafíos enfrenta el jugador? ¿Aumentan en dificultad? ¿Variedad?;"Eventos del Diario (motín, naufragio, tormenta, huracán). Variedad alta. Modo Capitán General agrava la fragilidad del casco 3× en temporal.";Escalado por jornada: las averías se acumulan en travesías largas (broma del Caribe en IV viaje).
32;Decisiones Significativas;Meaningful Choices;Mecánicas;82;¿Las decisiones del jugador importan? ¿Hay «decisiones dominantes» mal diseñadas?;"Las 6 decisiones contrafactuales mayores con riesgo/recompensa explícito + decisión menor documentada: «echar barrica al mar con copia del Diario», sólo disponible durante tormenta (viento >35 nudos), uno-por-viaje, con cita literal de la decisión real del Almirante el 14 feb 1493. +5 moral y narración hablada.";Decisión sobre la ración (entera/media) con efecto cuantitativo en el plazo de provisiones.
33;Triangularidad;Triangularity;Mecánicas;78;"¿Se equilibra el riesgo bajo con la recompensa baja, y al revés?";Triangularidad explícita: cada opción muestra etiquetas de riesgo y recompensa normalizadas a la decisión (alto/medio/bajo/ninguno) calculadas a partir de los efectos negativos y positivos previsibles. El jugador ve claramente qué opción es arriesgada-alta-recompensa frente a la prudente.;"Añadir un tercer eje (riesgo histórico vs. legitimidad moral, por ejemplo)."
34;Habilidad vs Azar;Skill vs. Chance;Mecánicas;80;¿El equilibrio entre habilidad y azar es el correcto? ¿Aprenden los jugadores?;"Predomina la habilidad (alisios, declinación, lectura del astrolabio, decisiones); el azar es un componente menor pero real y documentado con los avistamientos oceánicos. Ahora se siente la diferencia entre días sin nada y días con un encuentro emocionante.";Una mecánica de «suerte de marinero» (echar suertes para tomar decisiones menores) sería más historicamente fiel.
35;Cabeza y Manos;Head and Hands;Mecánicas;98;¿El juego es más mental o más físico? ¿Quiero más de uno o de otro?;"Cuatro mini-juegos navales interactivos: (1) astrolabio con drag de alidada + objetivo dorado + pista textual; (2) cuadrante (1/4 circulo + plomada con drag); (3) sondaleza con plomada animada y consulta a open-elevation; (4) corredera de nudos con ampolleta de 28s, rope animada y conteo de nudos. Gamepad API para timón/velas.";Mini-juego de estima (dead reckoning): trazar el rumbo en la carta y comparar con la posición real.
36;Competición;Competition;Mecánicas;15;¿La competición es justa? ¿Una mezcla de habilidad? ¿Hay público interesado en quién gana?;No hay competición. El simulador es single-player contra la Historia.;"Modo «¿llegas antes que la Pinzón»? (la Pinta de Pinzón llegó a Palos primero, episodio histórico real)."
37;Cooperación;Cooperation;Mecánicas;10;¿Es la cooperación rica en comunicación? ¿Cada jugador aporta algo único?;No hay cooperación (single-player).;"Modo 2 jugadores red local: uno es Almirante, otro es piloto Pinzón con su carabela."
38;Competición vs Cooperación;Competition vs. Cooperation;Mecánicas;50;¿Necesita ser cooperativo? ¿Competitivo? ¿Una mezcla?;"Por diseño, ni una ni otra — es un simulador histórico. La decisión es coherente con el tema.";"Si se añadiera cooperación, sería en modo cuatro viajes simultáneos (un jugador por nave)."
39;Tiempo;Time;Mecánicas;95;¿El tiempo es suficiente? ¿Demasiado largo? ¿Se siente apurado o sereno?;Tiempo sereno y reactivo: 7 velocidades de 1×1 a 1 año/s. El jugador siempre controla el ritmo.;Marcas de «mediodía solar» para forzar a parar y mirar el astrolabio.
40;Recompensa;Reward;Mecánicas;85;¿Qué recompensas se dan? ¿Suficientes? ¿Demasiadas? ¿Adecuadas?;"18 sellos del Diario verificables: cada hito real (Canarias, motín del 10-oct, Guanahaní, Nochebuena, Paria, huracán de 1502, rescate de Jamaica) desbloquea un sello con la cita literal del Diario o Las Casas. Persistencia en localStorage. Animación pop al desbloquear.";Sello especial al completar los cuatro viajes con el casco intacto.
41;Castigo;Punishment;Mecánicas;90;¿Por qué castigar al jugador? ¿Es el castigo proporcional? ¿Apropiado?;"Castigos mecánicos: el sistema de temporales (6 categorías climatológicas reales con datos del Diario, Las Casas, Hernando Colón) erosiona el casco entre 0,5 % y 18 % por tormenta, daña la moral hasta -20 puntos y modifica viento/dirección durante horas a días simulados. Pestaña «Memoria de los caídos» con muertes documentadas (los 39 del Fuerte de la Navidad, víctimas del huracán de 1502, los Porras, Caonabo, Colón en 1506). El castigo es proporcional, citado y trazable. No se simula la muerte por elecciones del jugador — el peso verdadero se transmite por el registro documental.";Ligar la moral baja sostenida con menciones nominales de tripulantes ausentes («ya no se ve al grumete Jácome…»).
42;Simplicidad / Complejidad;Simplicity/Complexity;Mecánicas;92;¿Qué elementos son innecesariamente complejos? ¿Cuáles son demasiado simples?;"HUD denso pero estructurado. Conmutador unificado [Mapa] [Naves] en la cabecera reemplaza los dos botones internos «Mapa a pantalla completa» / «Naves a pantalla completa»: tristate (ambos = partido, uno = solo). Botón «Sin HUD» oculta paneles. Matriz de coordenadas opcional. Cero información duplicada.";Preset «Aula» con HUD intermedio para enseñanza.
43;Elegancia;Elegance;Mecánicas;95;¿Cuántos propósitos tiene cada elemento? Lo elegante hace mucho con poco.;"Muy elegante: las velas afectan velocidad, ángulo, esfuerzo en jarcia y curvatura visual. El timón afecta rumbo, abatimiento y consumo de tiempo. El nuevo conmutador [Mapa] [Naves] hace tres funciones (split, mapa-solo, naves-solo) con dos botones. Un único fichero HTML.";Pulir: el botón «Sincronizar» podría además reanudar la sim si está pausada.
44;Carácter / Personalidad;Character;Mecánicas;98;¿Qué características hacen este juego único?;"Personalidad muy marcada: pergamino, latín náutico, citas textuales del Diario, voz del Almirante en el manual y desde la nueva iteración un lenguaje visual íntegramente serio — nada que delate la pantalla moderna (cero emoji), grabado de línea, numerales romanos, monogramas como cuños de lacre. Estética irrepetible.";Marca de agua tipográfica en la esquina inferior izquierda con un fragmento de letra capitular.
45;Imaginación;Imagination;Mecánicas;80;¿Qué debe imaginar el jugador? ¿Cuánto le doy y cuánto le dejo crear?;"Doy mucho (mapa, modelo 3D, sonido) pero dejo respirar: las olas del Atlántico desierto, las dudas de la marinería, el desembarco, los rostros del Diario. Las descripciones de los temporales son evocadoras (cabrillas en la mar, calor opresivo, brisa anómala, palo mayor que cruje) sin imagen: el jugador imagina el huracán por el texto y el viento súbito, no por un VFX.";"Más blanco interpretativo en los días tranquilos para que la imaginación llene; vista cinematográfica de mar gruesa cuando estalla un huracán."
46;Economía;Economy;Mecánicas;85;¿Qué economía hay? ¿Cómo se acumulan recursos? ¿Cómo se gastan?;"Panel de Bodega en «Vida a bordo» con barras por categoría: bizcocho (95 d), agua dulce (70 d), vino tinto (80 d), carne salada (60 d), tocino y queso (75 d), garbanzo/lenteja (85 d). Cada provisión decrece a su ritmo histórico (Morison, Las Casas). Color rojo cuando <20%.";"Comerciar provisiones con los taínos en La Española (algodón, batata)."
47;Equilibrio / Balance;Balance;Mecánicas;86;"¿Está bien equilibrado? Doce tipos de balance (justicia, dificultad, simbolismo, libertad/control, simple/complejo...).";"Equilibrio de dificultad ahora plurifacético: el selector Cabotaje/Almirante/Capitán-General modula cuatro subsistemas en cascada — fragilidad del casco (×0,4 / ×1 / ×2,6), probabilidad de temporal (×0,35 / ×1 / ×1,6), consumo de víveres (×0,75 / ×1 / ×1,35) y velocidad de caída de la moral con escasez (×0,35 / ×1 / ×2). Equilibrio recompensa/castigo: cada lectura magistral premia +1,5 moral; cada tormenta superada acumula en la Trayectoria. Equilibrio libertad/control: modo Capitán Errante se desbloquea con sello, no antes.";Iterar tras playtest con 5 historiadores y 5 no-historiadores.
48;Accesibilidad;Accessibility;Mecánicas;92;¿Cómo va a saber el jugador qué hacer? ¿Es intuitivo? ¿Hay barreras?;Tutorial guiado de primera vez con prev/next/skip y localStorage. Help modal exhaustivo. Glosario hover sobre todos los términos náuticos. Nuevo conmutador [Mapa] [Naves] en la cabecera resuelve el control de layout (antes confuso: dos botones internos diferentes con texto largo). Botón Diario reubicado abajo-derecha para no tapar la barra de vistas.;Versión simplificada del HUD para sesiones contemplativas y aulas.
49;Progreso Visible;Visible Progress;Mecánicas;92;¿El jugador puede ver su progreso? ¿En qué dimensiones?;Línea de ruta en mapa + fecha simulada + panel de Sellos del Diario (X de 18 cumplidos) con animación pop + singladura del día comparada con la media histórica + rango textual (Aspirante → Almirante de la Mar Océana).;Cronología visual horizontal con todos los hitos del viaje en curso.
50;Paralelismo;Parallelism;Mecánicas;85;¿Puede el jugador hacer varias cosas al tiempo? ¿Reducirías la frustración?;"Sí: durante la travesía puede consultar el mapa, ajustar velas, leer el Diario, contemplar las naves — todo en paralelo.";Permitir disparar el astrolabio con tecla mientras navegas sin pausar.
51;La Pirámide;The Pyramid;Puzzles;80;¿Hay un gran objetivo que organice todos los demás? ¿Tiene la fuerza?;"Pirámide clara: completar los cuatro viajes con fidelidad histórica. Sub-objetivos: cada viaje, cada hito.";Hacer la pirámide visible al inicio («Tienes 12 años para los cuatro viajes»).
52;El Puzzle;The Puzzle;Puzzles;94;¿Hay puzzles? ¿Cumplen los 10 principios de los buenos puzzles?;"Puzzles implícitos (velas vs. viento) + cuatro puzzles náuticos interactivos con dificultad creciente: astrolabio (encontrar la altura del Sol/Polar), cuadrante (alineación con plomada), sondaleza (lectura de profundidad con consulta real), corredera (medición de velocidad por nudos en 28s). Cada uno con meta clara, progreso visible y aprendizaje histórico.";Variante avanzada sin marcador objetivo para los puzzles de altura.
53;Control;Control;Interfaz;88;¿Cuándo el jugador siente que tiene control? ¿Cuándo no?;"Control absoluto del tiempo, mediano del timón, total de la cámara. Layout del viewport directo y predecible con dos toggles [Mapa] [Naves] de tristate evidente. La sensación de control es buena en todo momento.";Indicar visualmente cuándo el timón está «trabado» por marea o calma.
54;Interfaz Física;Physical Interface;Interfaz;88;¿El jugador toca físicamente algo? ¿Sería mejor si tocara otra cosa?;"Teclado + ratón + Gamepad API: cualquier mando estándar (Xbox/PlayStation/genérico) se conecta automáticamente — stick izquierdo = timón con deadzone 0.18, RT/LT = izar/arriar velas, A = pausa, X/Y = paso de velocidad, Start = sincronizar histórico. Toast informativo al conectar.";Asignación del stick derecho á la cámara cuando se está en modo vista libre.
55;Interfaz Virtual;Virtual Interface;Interfaz;92;¿La interfaz virtual transmite con eficacia la información del mundo?;"HUD denso pero estructurado y sin solapes (tras la reorg: columna derecha desplazada 42 px para no quedar bajo la barra de vistas; botón Diario reubicado). Matriz de coordenadas brillante (4 lecturas a la vez). Iconografía SVG coherente con el grabado de portulano.";Tooltips sobre cada panel para los principiantes.
56;Transparencia;Transparency;Interfaz;94;¿La interfaz es invisible o llama la atención? Lo ideal es que no se note.;Pergamino no estorba. Botón Sin HUD oculta todos los paneles. Modo Crónica combinable: HUD oculto + vistas alternándose = simulador como película. Nada del HUD lleva ya iconos emoji que rompan la ilusión de época: todo es grabado SVG o tipografía serif.;Fundido sutil de la barra de cámaras pasados 10 s sin interacción.
57;Retroalimentación;Feedback;Interfaz;92;¿Qué información necesita el jugador? ¿Cuándo? ¿Hay retroalimentación inmediata? ¿Resonante?;"Numérico, visual, auditivo, narrativo, histórico. Añadida la singladura comparada: la distancia recorrida hoy se valora contra la media documentada de Colón (35-45 leguas/día en alisios).";"Cuando termina un viaje, comparar el tiempo total con el del Almirante histórico."
58;Jugosidad;Juiciness;Interfaz;82;¿La interfaz es «jugosa»? ¿Premia la pequeña interacción?;"Olas Gerstner, sombras de jarcia, banderas, espuma, campanas, animación pop al desbloquear sello (numeral romano que «aparece estampado»), monogramas serif tipo cuño de lacre al cambiar de tripulante. Más jugoso que el render con emojis.";Sonido sutil de cuño-lacre al desbloquear un sello.
59;Canales y Dimensiones;Channels and Dimensions;Interfaz;80;¿Qué información se mueve entre jugador y juego? ¿En qué canales? ¿Cuáles dimensiones?;"Canales: visión (mapa, 3D, HUD, modal), oído (campanas, viento), tacto (teclas, ratón). Buena cobertura.";Canal háptico opcional (vibración de gamepad al disparo de evento).
60;Modos;Modes;Interfaz;80;¿Qué modos tiene el juego? ¿Son necesarios? ¿Claramente diferenciados?;"Modos: split, mapa-fullscreen, naves-fullscreen, decisión (modal). Cámara: libre / cofa / popa / proa / mar.";Modo «clase»: presentación automática para aula con narración.
61;Curva de Interés;Interest Curve;Interés;85;"¿La curva de interés tiene la forma correcta? Pico inicial, valles, picos cada vez mayores, clímax.";La estructura del Diario lo da hecho: 3 ago (zarpa) → 6 ago (avería) → 9 sept (alisios) → 10 oct (motín) → 12 oct (¡tierra!) → 25 dic (naufragio). Picos ordenados.;Picos auxiliares en valles largos (atravesando el Atlántico).
62;Interés Inherente;Inherent Interest;Interés;90;"¿Qué hace el contenido inherentemente interesante? ¿Tiene drama, peligro, intimidad, fantasía?";"Drama (motín), peligro (tormentas), intimidad (rezos diarios), fantasía (descubrimiento). Muy alto.";Más intimidad — diario personal del Almirante y de un grumete.
63;Belleza;Beauty;Interés;95;¿Cómo elevar el juego a una experiencia trascendentalmente bella?;"Belleza visual (mar Gerstner, cielo ACES Filmic, cartas portulanas, sprite SVG de línea), tipográfica (UnifrakturCook, Cinzel, IM Fell English), auditiva (campanas de ampolleta). Tras desemojizar, no hay un solo elemento gráfico fuera del registro estético del XV.";Banda sonora ambiental opcional con cantos de marinería del XVI.
64;Proyección;Projection;Interés;88;¿El jugador puede proyectarse en el mundo del juego?;El rol de Almirante / Piloto / Vigía proyecta al jugador en distintos puestos. El astrolabio interactivo dibuja las manos del avatar que lo sostienen — manos curvas con dedos rodeando el aro y mangas del jubón. Refuerza visualmente que es el jugador-Almirante quien toma la lectura.;Manos similares en la sondaleza al echar la plomada y en el cuadrante.
65;La Máquina de Historias;Story Machine;Interés;88;¿El sistema genera historias propias del jugador?;"Decisiones contrafactuales + pantalla final de cada viaje generada + botón «Exportar mi bitácora» (en el manual) que descarga un .md personalizado con posición, sellos obtenidos, hitos pendientes, decisiones tomadas y una glosa de cierre adaptada al porcentaje completado.";Generar también un PDF con el cuadro de Garnelo como portada.
66;El Obstáculo;The Obstacle;Historia;85;¿Cuáles son los obstáculos entre el héroe y el objetivo?;"Obstáculos: mar oceánica, motín, naufragio, tormenta, huracán, Bobadilla. Documentados.";"Obstáculos secundarios: enfermedad, calmas, niebla."
67;Simplicidad y Trascendencia;Simplicity and Transcendence;Historia;80;¿Reglas simples que llevan a experiencias trascendentes?;"Reglas relativamente simples (físicas estándar, eventos por fecha) que llevan a la trascendencia del descubrimiento.";Reducir aún más el número de paneles iniciales visibles.
68;El Viaje del Héroe;Hero's Journey;Historia;85;¿Sigue tu historia el monomito? Llamada · Cruce del umbral · Pruebas · Recompensa · Regreso.;"Sí, casi por accidente histórico. Llamada (Capitulaciones), cruce (Canarias), pruebas (motín), recompensa (Guanahaní), regreso (Palos).";Marcar explícitamente cada etapa con un sello del Diario.
